01:45:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 51] Logger initialized
01:45:44: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:45:45: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:45:46: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:45:47: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:45:48: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 2/5
01:45:49: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 3/5
01:45:50: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 4/5
01:45:51: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 5/5
01:45:52: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 6/5
01:45:53: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 7/5
01:45:54: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 8/5
01:45:56: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:45:57: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:45:58: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:45:59: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:46:00: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:46:01: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 2/5
01:46:02: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 1/5
01:46:03: [WARNING] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 68] Missed heartbeat 2/5
