16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 56] Logger initialized
16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 4.000)
16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 122] Sending CHANGE_ALT with target_alt=30
16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 1.000)
16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 122] Sending CHANGE_ALT with target_alt=30
16:32:43: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.667)
16:32:43: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.500)
16:32:44: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.400)
16:32:44: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.333)
16:32:45: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.286)
16:32:45: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 2.500, 0.250)
16:32:46: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 4.444, 0.222)
16:32:46: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 6.000, 0.200)
16:32:47: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (1.818, 5.455, 0.182)
16:32:47: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (3.333, 5.000, 0.167)
