16:40:55: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
16:40:55: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 132] Connected!
16:40:56: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE ALTITUDE: 1
16:40:56: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE ALTITUDE: -1
16:40:59: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
16:41:00: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 90.0
16:41:00: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 116.56505117707799
16:41:01: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 45.0
16:41:01: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
16:41:02: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 90.0
16:41:02: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 26.565051177077994
16:41:03: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 45.0
16:41:03: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 90.0
16:41:04: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 45.0
16:41:04: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 90.0
16:41:05: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 135.0
16:41:05: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -26.565051177077994
16:41:06: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -45.0
16:41:06: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -90.0
16:41:07: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -45.0
16:41:07: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -90.0
16:41:08: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -135.0
16:41:08: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -63.43494882292201
16:41:09: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -90.0
16:41:09: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -116.56505117707799
16:41:10: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -45.0
16:41:10: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -63.43494882292201
16:41:11: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: -90.0
