16:40:56: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 56] Logger initialized
16:40:56: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 4.000)
16:40:56: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 120] Sending CHANGE_ALT with target_alt=30
16:40:56: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 1.000)
16:40:56: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 120] Sending CHANGE_ALT with target_alt=30
16:40:57: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.667)
16:40:57: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.500)
16:40:58: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.400)
16:40:58: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.333)
16:40:59: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.286)
16:40:59: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 2.500, 0.250)
16:41:00: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 4.444, 0.222)
16:41:00: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 6.000, 0.200)
16:41:01: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (1.818, 5.455, 0.182)
16:41:01: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (3.333, 5.000, 0.167)
16:41:02: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (4.615, 4.615, 0.154)
16:41:02: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (4.286, 2.857, 0.143)
16:41:03: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (4.000, 1.333, 0.133)
16:41:03: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (3.750, 0.000, 0.125)
16:41:04: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (2.353, 0.000, 0.118)
16:41:04: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (1.111, 0.000, 0.111)
16:41:05: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.105)
16:41:05: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 1.000, 0.100)
16:41:06: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 1.905, 0.095)
16:41:06: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 2.727, 0.091)
16:41:07: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.870, 2.609, 0.087)
16:41:07: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (1.667, 2.500, 0.083)
16:41:08: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (2.400, 2.400, 0.080)
16:41:08: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (2.308, 1.538, 0.077)
16:41:09: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (2.222, 0.741, 0.074)
16:41:09: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (2.143, 0.000, 0.071)
16:41:10: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (1.379, 0.000, 0.069)
16:41:10: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.667, 0.000, 0.067)
16:41:11: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 108] Average velocity: (0.000, 0.000, 0.065)
